,lat,long,city,state,country,suburb
817,48.9842,12.1456,Regensburg,Bavaria,Germany,Burgweinting
818,50.6756,6.4242,Harscheidt,North Rhine – Westphalia,Germany,
819,49.3992,9.9653,Niederstetten,Baden-Württemberg,Germany,
820,48.5342,10.2442,Niederstotzingen,Baden-Württemberg,Germany,GVV Sontheim-Niederstotzingen
821,52.6725,9.2242,Nienburg/Weser,Lower Saxony,Germany,Holtorf (Nienburg)
822,48.8264,10.5078,Reimlingen,Bavaria,Germany,Ries
823,50.8289,6.6592,Niederbolheim,North Rhine – Westphalia,Germany,Blatzheim
824,53.7644,8.6575,Wurster Nordseeküste,Lower Saxony,Germany,
825,52.4408,7.1056,Nordhorn,Lower Saxony,Germany,Bakelde
826,49.4267,11.2553,Nuremberg,Bavaria,Germany,Netzstall
827,47.6192,12.1681,Kiefersfelden,Bavaria,Germany,
828,52.8167,9.9331,Bergen,Lower Saxony,Germany,
829,48.3156,8.5742,Oberndorf am Neckar,Baden-Württemberg,Germany,Aistaig
830,48.2444,11.5539,Oberschleißheim,Bavaria,Germany,
831,49.1289,9.3533,,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Obersulm
832,49.4531,12.4381,Oberviechtach,Bavaria,Germany,
833,49.1081,7.9969,Bad Bergzabern,Rhineland-Palatinate,Germany,Bad Bergzabern
834,51.0883,11.9314,Osterfeld,Saxony-Anhalt,Germany,Wethautal
835,50.455,10.2219,Ostheim v.d.Rhön,Bavaria,Germany,Ostheim vor der Rhön (VGem)
836,47.6367,10.3903,Petersthal,Bavaria,Germany,Oy-Mittelberg
837,53.0656,7.4819,Papenburg,Lower Saxony,Germany,
838,49.1517,11.6908,Parsberg,Bavaria,Germany,
839,48.5817,13.4167,Passau,Bavaria,Germany,Maierhof
840,54.0906,10.8783,Neustadt in Holstein,Schleswig-Holstein,Germany,
841,49.5367,6.3808,Perl,Saarland,Germany,Nennig
842,50.985,8.3689,Bad Berleburg,North Rhine – Westphalia,Germany,
843,48.9328,8.6967,Ispringen,Baden-Württemberg,Germany,Neulingen
844,47.9353,9.2878,Pfullendorf,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Pfullendorf
845,49.1919,7.5881,Pirmasens,Rhineland-Palatinate,Germany,Winzeln
846,50.4831,12.1317,Plauen,Saxony,Germany,Hofer Vorstadt
847,49.4789,11.5367,Pommelsbrunn,Bavaria,Germany,
848,52.6325,13.5039,Berlin,,Germany,Buch
849,54.3656,13.4783,Putbus,Mecklenburg-Vorpommern,Germany,
850,51.7967,11.1331,Quedlinburg,Saxony-Anhalt,Germany,
851,51.3906,11.5428,Querfurt,Saxony-Anhalt,Germany,
852,53.7344,9.8783,Quickborn,Schleswig-Holstein,Germany,
853,47.7467,9.0017,Radolfzell am Bodensee,Baden-Württemberg,Germany,
854,52.4481,8.5731,Rahden,North Rhine – Westphalia,Germany,Varl
855,48.8478,8.1869,Rastatt,Baden-Württemberg,Germany,Augustavorstadt
856,47.8069,9.6217,Weingarten,Baden-Württemberg,Germany,Verwaltungsverband Mittleres Schussental
857,52.4056,13.7328,Berlin,,Germany,Müggelheim
858,50.5614,13.2239,Hora Svatého Šebestiána,Ústecký kraj,Czechia,Pohraniční
859,51.1808,7.2514,Remscheid,North Rhine – Westphalia,Germany,Lennep
860,48.7433,8.925,Renningen,Baden-Württemberg,Germany,
861,48.6708,7.9956,Memprechtshofen,Baden-Württemberg,Germany,Verwaltungsgemeinschaft Oberkirch
862,52.2892,7.3864,Rheine,North Rhine – Westphalia,Germany,Wadelheim
863,47.5633,7.7942,Rheinfelden (Baden),Baden-Württemberg,Germany,Verwaltungsgemeinschaft Rheinfelden (Baden)
864,48.1489,9.4606,Riedlingen,Baden-Württemberg,Germany,Gemeindeverwaltungsverband Riedlingen
865,52.5458,13.5617,Berlin,,Germany,Marzahn
866,47.8758,12.1292,Rosenheim,Bavaria,Germany,
867,53.1303,9.3406,Bötersen,Lower Saxony,Germany,Samtgemeinde Sottrum
868,52.3819,13.5325,,Brandenburg,Germany,Schönefeld
869,49.2158,11.1025,Roth,Bavaria,Germany,
870,49.3856,10.1742,Rothenburg ob der Tauber,Bavaria,Germany,
871,52.1053,8.1828,Bad Rothenfelde,Lower Saxony,Germany,
872,48.4714,8.9694,Rottenburg am Neckar,Baden-Württemberg,Germany,Kiebingen
